0.mp3|وأما الشبر الثالث فهيهات لا يناله أحد أبدا
1.mp3|وقد كانت له المنزلة العالية في الفضل والأفر المشهور في الإسلام
2.mp3|إن أقرب الدعوات من الإجاب دابة السلطان الصالح
3.mp3|فكان من للطيف ما ذبره وبديع ما قدره
4.mp3|وإن كان الاستحسان للسورة والحركات حدثت رتبة ثامنا وهي للعشق وسببه الطمع
5.mp3|ولا يتمنونه أبدا بما قدمت أيديهم والله عليم بالظالمين
6.mp3|قل الله ينجيكم منها ومن كل كرب ثم أنتم تشركون
7.mp3|رضي الله عنه فأتى طلحة بكتابه إلى عمر ليختمة
8.mp3|ولقد آتينا موسى وهارون الفرقان وضياء وذكرا للمتقيين
9.mp3|فأخذتهم الرجفة فأصبحوا في داره جافمين
10.mp3|إني أريد أن تبوء باتمي واثمك فتكون من أصحاب النار وذلك جزاء الظالمين
11.mp3|صر من عاش ماله فإذا حاثبه الله سره الإعدام والثاني
12.mp3|فقد بعث رسول الله صل الله عليه وسلم والعرب أشد ثقاط عا وتعاديا
13.mp3|فإذا كانت في الكلام كانت رمزا وإن كانت في الشعر كانت لغزا
14.mp3|قل سيروا في الأرض فانظروا كيف كان عاقبة الذين من قبل كان أكثرهم مشركين
15.mp3|فليس ديرا زال سلطانه إلا بدرة أحكام
16.mp3|ليبين لهم الذي يختلفون فيه وليعلم الذين كفروا أنهم كانوا كاذبين
17.mp3|ومن يوق شح نفسه فأولئك هم المفلحون وروى محمد ابن ابراهيم التيمي
18.mp3|وإن كان استقباحهم له في مكاتبة الرؤساء أكثر
19.mp3|قال إنما أنا رسول ربك لأهب لكي غلاما زكيا
20.mp3|وأصحاب الأيكة وقوم تبع كل كذب الرسل فحق وعيد
21.mp3|ثم توليتم من بعد ذلك فلولى فضل الله عليكم ورحمته لكنتم من الخاسرين
22.mp3|ويوم سير الجبال وتر الأرض بارزة وحشرناهم فلم نغادر منهم أحدا
23.mp3|وله الجوال المنشآات في البحرك لأعدام
24.mp3|وإلهكم إله واحد لا إلها إلا هو الرحمن الرحيم
25.mp3|وإلى مقاربتهم مندوبا ينبغي أن يكون لهم راكنا
26.mp3|لأن من اعتقد أن العلم شين
27.mp3|وليس عليه ظمان لشحلاسيما والمقادير غالبة
28.mp3|يخاضدعون الله والذين آمنوا وما يخادعون إلا أنفسهم وما يشعرون
29.mp3|فكف بالله شهيدا بيننا وبينكم إن كنا عن عبادتكم لغافلين
30.mp3|ومن يعص الله ورسوله ويتعدى حدوده يدخله نارا خالدا فيها وله عذاب مهين
31.mp3|وقيل للحظري فقال ما كثر إعجازه وتناسبت صدوره وأعجازه
32.mp3|وقيل ذلك للرومي فقال حاسان الاختصار عند البديهة والغزارة يوم الإطالة
33.mp3|وأن يوصل إلى مستحقه بقدر الطاقة وتدبير ذلك مستصعب
34.mp3|وهو الذي جعل لكم ليلا لباسا والنوم سبات وجعل النهار نصورة
35.mp3|إن الرحم إذا تماست تعاضفت
36.mp3|فلا يفي ما أدركوه من فضيلة العلم بما لحقهم من نقص للعجب
37.mp3|وإنما هوجاه يستظل به الأدنى ويرتفق به التابع
38.mp3|ومن أراد الآخرة وسع لها سعيها وهو مؤمن فأولئك كان صعيهم مشكورا
39.mp3|ولثالث أنه السمت الحسن وهو قول عثمان ابن عفان رضي الله عنه
40.mp3|ولوعلم الله فيهم خيرا لأسمعهم ولو أسمعهم لتولوا وهم معرضون
41.mp3|وإن شر الأبناء من دعاه التقصير إلى العقوق
42.mp3|قال يبي إني وهنا العظم مني واجتعان الرأس شيبا ولمكم بدعائك رب لشقيا
43.mp3|وجعلنا منهم أئمة يهدون بأمرنا لما سبروا وكانوا بآياتنا يوقنون
44.mp3|ومن أيقن بالمجازاة لم يؤثر على الحسنا
45.mp3|وإذا حشر الناس كانوا لهم أعداء وكانوا بعبادتهم كافرين
46.mp3|إنه كان فريق من عبادي يقولون ربنا آمنا فأغفلنا ورحنا وأنت خير الراحمي
47.mp3|حتى إذا بلغ بين السدين وجد من دونهما قوما لا يكادون يفقهون قولا
48.mp3|فأقبلت امرأته في صرة فسكت وجهها وقالت عجوز عقيم
49.mp3|والله ما أدري أنت الخليفة أمعمر فقال
