0.mp3|وأما شبر الثالث فيهيهات  لا يناله أحد أبدا
1.mp3|وقد كانت له المنزلة العالية في الفضل والأثر المشهور في الإسلام
2.mp3|إن أقرب الدعواد من العجاب داوة السلطان الصالح
3.mp3|فكان من لطيف ما ذبره وبديعي ما قدره
4.mp3|وإن كان الإستحسان للمشايات الحركات حدثت رطبة ثامنة وهي العشق وسببه الطماع
5.mp3|ولا يتمنونه أبدا بما قدمت أيديهم والله عليم بالظالمين
6.mp3|قل الله ينجيكم منها ومن كل كرب ثم أنتم تشركون
7.mp3| ورضي الله عنه فأتى طلحة بكتابه إلى عمر ليختمه
8.mp3|ولقد آتينا موز وهارون الفرقان وضياء وذكرا للمتقين
9.mp3|فأخذتهم الرجبة فأصبحوا في دارهم جاسمين
10.mp3|إني اريد أن تبوع بإثمي وإثمك فتكون من أصحاب النار وذلك جزاء الظالمين
11.mp3|سر من عاش ماله فإذا حاذبه الله سره الإعدم والداني
12.mp3|فقد بعث رسول الله صلى الله عليه وسلم والعرب أشد تقاطعا وتعاديا
13.mp3|فإذا كانت في الكلام كانت رمزا وإن كانت في الشعر كانت لغزا
14.mp3|قل سيروا في الأرض فانظروا كيف كان عاقبة الذين من قبل كان أكثر هم مشركين
15.mp3|فليس ديل زاد سلطانه إلا بدرت أحكامه
16.mp3|لاوا بين لهم الذي يختلفون فيه وليعلم الذين كفروا أنهم كانوا كاذبين
17.mp3|ومن يوقى شحى نفسه فأولئك هم المفلحون وروا محمد بن تيم
18.mp3|وإن كان استقباحهم له في مكاتبة الروأساء أكثر
19.mp3|قال إنما أنا رسول ربك لأهب لك غلاما زكيا
20.mp3|وأصحاب الايكت وقوم تبع كل كذب الرسل فحق عن عيد
21.mp3|ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
22.mp3|ويوم نسير الجبال وترى الأرض بعرزة وحشرناهم فلم نغادر منهم أحدا
23.mp3|ولو الجوار المنشآت في البحر كالأعدان
24.mp3|وإلهكم إله واحد لا إله إلا هو الرحمن الرحيم
25.mp3|وإلى مقاربتهم مندوبا ينبغي أن يكون لهم راكلا
26.mp3|لأن من اعتقد أن العلم شيلون
27.mp3|وليس علي ذمان النجح لسيما والمقادير غالبة
28.mp3|يخادعون الله والذين آمنوا وما يخادعون إلى أنفسهم وما يشعرون
29.mp3|فكفى بالله شهيدا بيننا وبينكم إن كنا عن عبادتكم لا غافلين
30.mp3|ومن يعصي الله ورسوله بيتعدى هدوده يدخله نعرا خالدا فيها وله عذاب مهين
31.mp3|وقيل للحضرى فقال ما كثر إعجازه وتناسبت توذره وأعجازه
32.mp3|وقيل ذلك للرومي فقال حسن الإختصار عند البديهة الغزارة يوم الإطالة
33.mp3|وأن يوصل إلى مستحقه بقدر الطاقة والتدبير ذلك مستصعب
34.mp3|وهو الذي جعل لكم الأم الليل لباسا والنوم سبات  وجعل النعار نشورا
35.mp3|إن الرحمة إذا تماست تعاثفت
36.mp3|فلا يفي ما أدركوه من فضيلة العلم بما لاحقهم من نقص العجب
37.mp3|وإنما هوجاه يستظل به الأدنى يرتفق به التابع
38.mp3|ومن أراد الآخرة وسعى لها سعيها وهو مؤمن فأولئك كان سعيهم ما شكورا
39.mp3|والثالث أنه سمت الحسن وهو قول عثمانابن عفان رضي الله عنه
40.mp3|ولو علموا الله فيهم خيرا لأسمعهم ولو أسمعهم لتولوا وهم معرضون
41.mp3|وإنا شر الأبناء من دعاءه التقسير إلى العقوق
42.mp3|قال يا رب إني وهان العظم مني واجتعان الرأس شيبا ولم كن بدعائكوا رب شقيا
43.mp3|وجعلنا منهم أئمة يهدون بأمرنا ۚ لما صبروا وكانوا بآياتنا يوقنون
44.mp3|ومن أيقن بالمجازات لم يؤثر على الحسنى
45.mp3|وإذا حشر الناس كانوا لهم أعداء  وكانوا بعبادتهم كافرين
46.mp3|إنه كان فريق من عبادي يقولون ربنا آمنا فافر لنا وارحمنا وأنت خير الراحم
47.mp3|حتى إذا بلغ بين الستين وجدى من دومهما قوما لا يكادون يبقون قولا
48.mp3|فأقبلت امرأته في سرة فسكت وجهها وقالت عجوز عقيم
49.mp3|والله ما أدري أنت الخريفة أم عمره  فقال
